chainage_m,E,N,thalweg_mRL,crest_left_mRL,crest_right_mRL,bankfull_mRL,limiting_bank,bankfull_depth_m,top_width_m,area_m2,capacity_m3s,slope,stage_150_m,freeboard_150_m,stage_300_m,freeboard_300_m
22125.0,1558174.827,5194923.077,55.655,59.399,58.466,58.466,right,2.812,136.0,225.112,664.57,0.006,0.7,2.112,1.0,1.812
22375.0,1558420.643,5194914.682,53.709,57.831,57.545,57.545,right,3.836,138.0,301.171,1059.125,0.005,1.75,2.086,1.95,1.886
22625.0,1558662.383,5194850.95,52.939,56.465,56.132,56.132,right,3.193,158.0,303.177,982.93,0.005,1.3,1.893,1.5,1.693
22875.0,1558868.079,5194719.094,51.724,55.031,54.758,54.758,right,3.034,148.0,325.841,1170.077,0.006,1.1,1.934,1.3,1.734
23125.0,1559101.544,5194629.685,49.913,53.807,53.36,53.36,right,3.447,120.0,215.456,666.081,0.005,1.5,1.947,1.65,1.797
23375.0,1559335.01,5194540.277,48.812,53.214,52.292,52.292,right,3.48,168.0,312.992,982.411,0.005,1.3,2.18,1.45,2.03
23625.0,1559514.94,5194367.66,47.698,51.99,51.196,51.196,right,3.498,154.0,324.881,1102.238,0.005,0.7,2.798,1.1,2.398
23875.0,1559693.074,5194192.251,46.254,50.853,49.455,49.455,right,3.202,130.0,177.73,444.378,0.005,1.25,1.952,1.55,1.652
24125.0,1559871.208,5194016.842,45.034,49.246,48.387,48.387,right,3.353,120.0,218.666,649.128,0.005,1.3,2.053,1.5,1.853
24375.0,1560049.342,5193841.433,43.508,47.739,46.793,46.793,right,3.285,122.0,158.203,364.38,0.005,1.45,1.835,1.7,1.585
24625.0,1560227.476,5193666.024,42.668,46.531,45.752,45.752,right,3.084,456.0,467.356,901.556,0.004,0.95,2.134,1.15,1.934
24875.0,1560405.609,5193490.615,41.164,45.366,44.849,44.849,right,3.684,332.0,406.24,861.358,0.004,1.7,1.984,1.95,1.734
25125.0,1560583.27,5193314.78,40.051,44.405,43.962,43.962,right,3.911,450.0,398.324,686.761,0.004,1.95,1.961,2.15,1.761
25375.0,1560747.102,5193126.49,39.412,43.293,43.122,43.122,right,3.71,456.0,533.073,1089.989,0.004,1.5,2.21,1.75,1.96
25625.0,1560904.539,5192932.29,38.227,42.258,41.693,41.693,right,3.467,394.0,382.351,692.557,0.004,1.2,2.267,1.45,2.017
25875.0,1561061.975,5192738.09,37.378,41.236,40.313,40.313,right,2.936,410.0,298.561,445.041,0.004,0.9,2.036,1.15,1.786
26125.0,1561219.412,5192543.89,36.19,40.107,39.035,39.035,right,2.845,120.0,148.928,318.782,0.004,0.95,1.895,1.25,1.595
26375.0,1561373.323,5192346.945,35.174,39.129,38.048,38.048,right,2.875,120.0,159.488,365.333,0.004,0.85,2.025,1.2,1.675
26625.0,1561533.144,5192154.761,34.118,37.819,37.219,37.219,right,3.101,452.0,510.419,1057.524,0.004,0.85,2.251,1.15,1.951
26875.0,1561694.314,5191963.648,32.794,36.894,35.926,35.926,right,3.133,120.0,175.055,432.227,0.005,1.25,1.883,1.45,1.683
27125.0,1561856.287,5191773.242,31.814,36.1,34.839,34.839,right,3.026,414.0,465.599,971.333,0.005,0.85,2.176,1.05,1.976
27375.0,1562025.608,5191589.312,30.724,34.749,33.622,33.622,right,2.898,440.0,384.058,683.824,0.005,0.65,2.248,0.85,2.048
