chainage_m,E,N,thalweg_mRL,crest_left_mRL,crest_right_mRL,bankfull_mRL,limiting_bank,bankfull_depth_m,top_width_m,area_m2,capacity_m3s,slope,right_crest_E,right_crest_N,level_100_mRL,over_right_100_m,over_left_100_m,level_150_mRL,over_right_150_m,over_left_150_m,level_300_mRL,over_right_300_m,over_left_300_m,level_500_mRL,over_right_500_m,over_left_500_m,level_800_mRL,over_right_800_m,over_left_800_m,level_1200_mRL,over_right_1200_m,over_left_1200_m,path_min_dist_to_north_embankment_m,path_length_km,path_end_E,path_end_N,right_bank_in_d8_catchment,right_bank_in_anypath_area,mfd_share_at_north_embankment,chainage_rel_site_km
11086.596,1525009.83,5205376.098,310.139,319.537,314.389,314.389,right,4.25,404.0,824.355,3214.781,0.007,1525144.565,5205236.519,311.639,-2.75,-7.898,311.839,-2.55,-7.698,312.189,-2.2,-7.348,312.589,-1.8,-6.948,313.089,-1.3,-6.448,313.389,-1.0,-6.148,5813.87,41.38,1562490.0,5191190.0,False,True,0.0,-13.875
11336.596,1525175.956,5205450.341,309.276,312.608,316.359,312.608,left,3.331,480.0,963.843,3916.101,0.008,1524999.518,5204961.189,309.976,-6.383,-2.631,310.076,-6.283,-2.531,310.376,-5.983,-2.231,310.576,-5.783,-2.031,310.826,-5.533,-1.781,311.076,-5.283,-1.531,5825.322,41.7,1562490.0,5191190.0,False,True,0.0,-13.625
11586.596,1525392.185,5205495.078,306.774,312.391,311.284,311.284,right,4.511,276.0,823.658,4423.83,0.008,1525456.518,5205337.721,308.224,-3.061,-4.167,308.374,-2.911,-4.017,308.674,-2.611,-3.717,308.924,-2.361,-3.467,309.224,-2.061,-3.167,309.524,-1.761,-2.867,5813.87,41.08,1562490.0,5191190.0,False,True,0.0,-13.375
11836.596,1525629.616,5205571.744,305.047,311.638,306.778,306.778,right,1.731,212.0,162.347,356.699,0.009,1525752.261,5205478.61,305.747,-1.031,-5.891,305.847,-0.931,-5.791,305.997,-0.781,-5.641,306.197,-0.581,-5.441,306.397,-0.381,-5.241,306.597,-0.181,-5.041,5825.322,40.74,1562490.0,5191190.0,False,False,0.0,-13.125
12086.596,1525782.293,5205658.575,302.482,306.137,308.201,306.137,left,3.656,376.0,452.686,1340.71,0.008,1525758.742,5205031.017,303.932,-4.269,-2.206,304.032,-4.169,-2.106,304.282,-3.919,-1.856,304.482,-3.719,-1.656,304.782,-3.419,-1.356,305.032,-3.169,-1.106,5825.322,40.92,1562490.0,5191190.0,False,True,0.0,-12.875
12336.596,1525964.955,5205668.442,300.072,304.365,306.691,304.365,left,4.293,296.0,364.396,1144.017,0.009,1525941.704,5205048.878,302.222,-4.469,-2.143,302.672,-4.019,-1.693,302.972,-3.719,-1.393,303.222,-3.469,-1.143,303.472,-3.219,-0.893,303.822,-2.869,-0.543,5819.565,40.7,1562490.0,5191190.0,False,True,0.0,-12.625
12586.596,1526197.048,5205651.779,297.854,302.861,304.777,302.861,left,5.007,214.0,414.596,1733.754,0.009,1526175.522,5205078.182,300.304,-4.473,-2.557,300.654,-4.123,-2.207,300.904,-3.873,-1.957,301.104,-3.673,-1.757,301.354,-3.423,-1.507,301.554,-3.223,-1.307,5813.87,40.48,1562490.0,5191190.0,False,True,0.0,-12.375
12836.596,1526442.987,5205654.243,295.705,301.641,302.612,301.641,left,5.936,444.0,629.787,2092.127,0.009,1526423.261,5205128.613,298.055,-4.557,-3.586,298.255,-4.357,-3.386,298.855,-3.757,-2.786,299.205,-3.407,-2.436,299.455,-3.157,-2.186,299.655,-2.957,-1.986,5819.565,40.28,1562490.0,5191190.0,False,True,0.0,-12.125
13086.596,1526692.197,5205634.391,294.268,298.836,298.338,298.338,right,4.07,202.0,277.199,878.054,0.008,1526700.331,5205576.964,295.768,-2.57,-3.068,295.968,-2.37,-2.868,296.368,-1.97,-2.468,296.718,-1.62,-2.118,297.068,-1.27,-1.768,297.518,-0.82,-1.318,5813.87,39.76,1562490.0,5191190.0,False,False,0.0,-11.875
13336.596,1526918.222,5205737.35,291.797,300.138,295.832,295.832,right,4.036,318.0,525.299,1866.854,0.008,1526963.0,5205650.179,291.847,-3.986,-8.291,291.847,-3.986,-8.291,291.847,-3.986,-8.291,291.847,-3.986,-8.291,292.097,-3.736,-8.041,292.697,-3.136,-7.441,5819.565,39.32,1562490.0,5191190.0,False,False,0.0,-11.625
